,Name,Net_worth_USD,Age,Nationality,Primary_source_of_wealth
0,Bill Gates,$90.0 billion,43,United States,Microsoft
1,Warren Buffett,$36.0 billion,68,United States,Berkshire Hathaway
2,Paul Allen,$30.0 billion,46,United States,Microsoft
3,Steven Ballmer,$19.5 billion,43,United States,Microsoft
4,Philip Anschutz,$16.5 billion,59,United States,The Anschutz Corporation
5,Michael Dell,$16.5 billion,34,United States,Dell
6,S. Robson Walton,$15.8 billion,55,United States,Wal-Mart
7,Al-Waleed Bin Talal,$15.0 billion,42,Saudi Arabia,Kingdom Holding Company
8,Karl and Theo Albrecht,$13.6 billion,79,Germany,Aldi
9,Li Ka-shing & family,$12.6 billion,71,Hong Kong,CK Asset Holdings[49]
